data	target	roc_auc_score	pr_auc_score
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P42330	0.9500000000000001	0.75
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P42574	0.67	0.4086996336996337
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P43115	0.56	0.24423583662714093
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P43166	0.9944444444444445	0.9583333333333333
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P43351	0.5972222222222222	0.21944444444444444
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P43367	0.9292929292929293	0.6666666666666666
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P45983	0.73	0.48412698412698413
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P46098	0.9410046728971962	0.6534581159581159
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P47869	0.8472222222222222	0.3472222222222222
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P47898	0.8706199460916442	0.6157406503271164
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P48730	0.8282828282828283	0.7166666666666666
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P49286	0.9249999999999999	0.7
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P49327	0.8472222222222222	0.5833333333333333
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P49674	0.6111111111111112	0.43358395989974935
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P49759	0.7727272727272727	0.5625
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P49840	0.9516129032258064	0.7
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P49841	0.7886792452830189	0.333374613003096
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P50406	0.9113408521303258	0.733419797007514
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P50407	0.8387096774193549	0.22619047619047616
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P50750	0.7916666666666667	0.34090909090909094
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P51452	0.8673469387755102	0.7266483516483517
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P51589	0.5483870967741935	0.09545454545454546
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P51812	0.725	0.3333333333333333
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P52333	0.7	0.5135416666666667
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P53779	0.9	0.6666666666666666
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P55017	1.0	1.0
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P55789	0.7545871559633027	0.3561005276978236
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P68400	0.896551724137931	0.625
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P79400	0.9310344827586207	0.6666666666666666
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P80192	1.0	1.0
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P97266	0.7413793103448275	0.3125
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	Q00535	0.7580645161290323	0.16233766233766234
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	Q00653	0.7986486486486486	0.40450037308792436
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	Q01668	0.9848484848484849	0.9166666666666665
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	Q01959	0.8274285714285714	0.5588932424474926
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	Q02156	0.9	0.41666666666666663
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	Q02750	0.41666666666666663	0.18452380952380953
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	Q02763	1.0	1.0
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	Q04206	0.8148648648648649	0.5874449607947518
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	Q05397	0.6212121212121212	0.4720496894409938
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	Q05586	1.0	1.0
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	Q05655	1.0	1.0
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	Q06124	0.325	0.09728506787330317
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	Q06710	0.9177927927927929	0.7550220169901021
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	Q07820	0.7178571428571427	0.3178733144250385
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	Q08499	0.9583333333333334	0.8333333333333333
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	Q09428	0.8018018018018018	0.5121212121212121
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	Q12809	0.8623606305267204	0.5649698785219099
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	Q12851	0.76	0.2791666666666666
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	Q13188	0.9848484848484849	0.9166666666666665
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	Q13224	1.0	1.0
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	Q13255	0.575	0.22549019607843135
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	Q13627	0.8013157894736842	0.45007635882635877
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	Q13639	0.9545454545454546	0.8146205646205646
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	Q13698	1.0	1.0
